PI	Soil	Sampling_Experiment	sampleID	analysis	Probenummer	Value	characteristic
Selma	Aurora	from George Jander	BX1 KA12 (A)	Agroscope	NA	7.28	pH
Selma	Aurora	from George Jander	BX1 KA12 (B)	Agroscope	NA	7.48	pH
Selma	Aurora	from George Jander	"BX1 CE71,72 (A)"	Agroscope	NA	7.63	pH
Selma	Aurora	from George Jander	"BX1 CE71,72 (B)"	Agroscope	NA	7.31	pH
Selma	Aurora	from George Jander	BX2 KA16 (A)	Agroscope	NA	7.19	pH
Selma	Aurora	from George Jander	BX2 KA16 (B)	Agroscope	NA	7.2	pH
Selma	Aurora	from George Jander	"BX2 CE73,74 (A)"	Agroscope	NA	7.1	pH
Selma	Aurora	from George Jander	"BX2 CE73,74 (B)"	Agroscope	NA	7.39	pH
Selma	Reckenholz3	sampled_onfield_unconditioned_2019	sample1	Agroscope	NA	35.8	sand
Selma	Reckenholz3	sampled_onfield_unconditioned_2019	sample2	Agroscope	NA	39.2	sand
Selma	Reckenholz3	sampled_onfield_unconditioned_2019	sample1	Agroscope	NA	38.9	silt
Selma	Reckenholz3	sampled_onfield_unconditioned_2019	sample2	Agroscope	NA	36.6	silt
Selma	Reckenholz3	sampled_onfield_unconditioned_2019	sample1	Agroscope	NA	25.3	clay
Selma	Reckenholz3	sampled_onfield_unconditioned_2019	sample2	Agroscope	NA	24.2	clay
Selma	Reckenholz3	sampled_onfield_unconditioned_2019	sample1	Agroscope	NA	7.16	pH
Selma	Reckenholz3	sampled_onfield_unconditioned_2019	sample2	Agroscope	NA	6.64	pH
Klaus	Changins	wt-soil_field	12_field	Agroscope	Probe_009	7.99	pH
Klaus	Changins	wt-soil_field	18_field	Agroscope	Probe_010	7.98	pH
Klaus	Changins	wt-soil_field	48_field	Agroscope	Probe_011	7.94	pH
Klaus	Changins	wt-soil_field	268_field	Agroscope	Probe_012	7.2	pH
Klaus	Changins	bx-soil_field	7_field	Agroscope	Probe_013	7.97	pH
Klaus	Changins	bx-soil_field	47_field	Agroscope	Probe_014	8	pH
Klaus	Changins	bx-soil_field	171_field	Agroscope	Probe_015	7.95	pH
